Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description
212 Sexy Carolina Herrerafor women,for women,3.83,"6,363","['sweet', 'powdery', 'musky', 'soft spicy', 'caramel', 'vanilla', 'floral', 'citrus', 'white floral', 'woody']",['Rosendo Mateu'],"212 SexybyCarolina Herrerais a Amber Floral fragrance for women.212 Sexywas launched in 2004. The nose behind this fragrance is Rosendo Mateu. Top notes are Pink Pepper, Mandarin Orange and Bergamot; middle notes are Cotton Candy, Gardenia, Flowers, Pelargonium and Rose; base notes are Vanilla, Musk, Sandalwood, Caramel, Violet and Patchouli."
212 Sexy Men Carolina Herrerafor men,for men,3.94,"2,732","['vanilla', 'woody', 'powdery', 'warm spicy', 'fresh spicy', 'citrus', 'floral', 'aromatic', 'amber', 'musky']","['Alberto Morillas', 'Rosendo Mateu']","212 Sexy MenbyCarolina Herrerais a Amber Fougere fragrance for men.212 Sexy Menwas launched in 2006. 212 Sexy Men was created by Alberto Morillas and Rosendo Mateu. Top notes are Mandarin Orange, Bergamot and Green Notes; middle notes are Pepper, Flowers and Cardamom; base notes are Vanilla, Guaiac Wood, Sandalwood, Amber and Musk."
212 Summer Cocktail Carolina Herrerafor women,for women,3.78,9,"['citrus', 'fruity', 'white floral', 'sweet', 'woody', 'floral', 'fresh', 'vodka', 'powdery']",['Alberto Morillas'],"212 Summer CocktailbyCarolina Herrerais a Floral Fruity fragrance for women.212 Summer Cocktailwas launched in 2000. The nose behind this fragrance is Alberto Morillas. Top notes are Kumbaru, Lemon, Grapefruit, Orange and Mandarin Orange; middle notes are Vodka, Freesia, Jasmine, Clementine, Gardenia, Apple, Pear and Pineapple; base notes are Sandalwood and Musk."
212 NYC Pills Carolina Herrerafor women,for women,4.09,43,"['white floral', 'floral', 'citrus', 'green', 'powdery', 'musky', 'rose', 'fresh']",['Alberto Morillas'],"212 NYC PillsbyCarolina Herrerais a Floral Woody Musk fragrance for women.212 NYC Pillswas launched in 2016. The nose behind this fragrance is Alberto Morillas. Top notes are Cactus Flower, Orange Blossom, Mandarin Orange and Bergamot; middle notes are Lily, Freesia, Jasmine, Lily-of-the-Valley, Gardenia, Rose, Camelia and Peony; base notes are White Musk and Sandalwood."
212 Sexy Men Pills Carolina Herrerafor men,for men,4.44,18,"['vanilla', 'warm spicy', 'woody', 'powdery', 'citrus', 'fresh spicy', 'amber', 'aromatic', 'floral', 'sweet']","['Alberto Morillas', 'Rosendo Mateu']","212 Sexy Men PillsbyCarolina Herrerais a Amber Fougere fragrance for men.212 Sexy Men Pillswas launched in 2016. 212 Sexy Men Pills was created by Alberto Morillas and Rosendo Mateu. Top notes are Mandarin Orange, Green Notes and Bergamot; middle notes are Pepper, Flowers and Cardamom; base notes are Bourbon Vanilla, Tonka Bean, Guaiac Wood, Musk, Sandalwood and Amber."
212 Sexy Pills Carolina Herrerafor women,for women,4.1,21,"['sweet', 'citrus', 'powdery', 'floral', 'musky', 'woody', 'soft spicy', 'caramel', 'vanilla', 'rose']",['Rosendo Mateu'],"212 Sexy PillsbyCarolina Herrerais a Amber Floral fragrance for women.212 Sexy Pillswas launched in 2016. The nose behind this fragrance is Rosendo Mateu. Top notes are Pink Pepper, Bergamot and Mandarin Orange; middle notes are Flowers, Cotton Candy, Pelargonium, Gardenia and Rose; base notes are Vanilla, Musk, Sandalwood, Patchouli, Caramel and Violet."
212 VIP MEN Pills Carolina Herrerafor men,for men,4.46,26,"['warm spicy', 'aromatic', 'woody', 'vodka', 'fresh spicy', 'animalic', 'citrus', 'green', 'leather', 'tropical']","['Emilie Bevierre-Coppermann', 'Lucas Sieuzac']","212 VIP MEN PillsbyCarolina Herrerais a Amber Woody fragrance for men.212 VIP MEN Pillswas launched in 2016. 212 VIP MEN Pills was created by Emilie Bevierre-Coppermann and Lucas Sieuzac. Top notes are Passionfruit, Ginger, Lime, Pepper and Caviar; middle notes are Vodka, Spices, Gin and Mint; base notes are Leather, Amber and Woodsy Notes."
212 VIP Pills Carolina Herrerafor women,for women,3.9,29,"['vanilla', 'musky', 'white floral', 'sweet', 'amber', 'powdery', 'aromatic', 'rum', 'warm spicy', 'animalic']",['Alberto Morillas'],212 VIP PillsbyCarolina Herrerais a Amber Vanilla fragrance for women.212 VIP Pillswas launched in 2016. The nose behind this fragrance is Alberto Morillas. Top notes are Rum and Passionfruit; middle notes are Musk and Gardenia; base notes are Tonka Bean and Vanilla.
212 VIP Rose Pills Carolina Herrerafor women,for women,4,42,"['fruity', 'musky', 'woody', 'amber', 'floral', 'powdery', 'Champagne', 'sweet', 'aldehydic', 'animalic']",['Lucas Sieuzac'],"212 VIP Rose PillsbyCarolina Herrerais a Floral Fruity fragrance for women.212 VIP Rose Pillswas launched in 2016. The nose behind this fragrance is Lucas Sieuzac. Top notes are Fruity Notes and Champagne; middle note is Peach Blossom; base notes are White Musk, Woodsy Notes and Amber."
212 VIP Carolina Herrerafor women,for women,3.87,"5,278","['vanilla', 'rum', 'sweet', 'tropical', 'fruity', 'white floral', 'powdery', 'musky', 'woody', 'fresh']",['Alberto Morillas'],212 VIPbyCarolina Herrerais a Amber Vanilla fragrance for women.212 VIPwas launched in 2010. The nose behind this fragrance is Alberto Morillas. Top notes are Rum and Passionfruit; middle notes are Gardenia and Musk; base notes are Vanille and Tonka Bean.
